,date,open,close,high,low,volume,code
61,2007-05-08,5.412,5.412,5.412,5.412,62060.0,000725
62,2007-05-09,5.28,5.682,5.682,5.28,319361.76,000725
63,2007-05-15,5.969,5.969,5.969,5.969,24624.79,000725
64,2007-05-16,6.264,6.133,6.264,6.01,576087.41,000725
65,2007-05-17,6.133,6.437,6.437,6.035,369415.68,000725
66,2007-05-18,6.724,6.756,6.756,6.56,360965.7,000725
67,2007-05-21,6.601,7.093,7.093,6.502,357548.38,000725
68,2007-05-22,7.265,7.445,7.445,7.265,231436.85,000725
69,2007-05-23,7.789,7.814,7.814,7.625,132147.28,000725
70,2007-05-24,8.191,7.429,8.191,7.42,606069.62,000725
71,2007-05-28,7.584,7.232,7.584,7.06,404942.38,000725
72,2007-05-29,7.191,7.068,7.199,6.953,292291.72,000725
73,2007-05-30,6.715,6.715,6.896,6.715,159774.1,000725
74,2007-06-01,6.379,6.379,6.379,6.379,25371.0,000725
75,2007-06-04,6.059,6.059,6.059,6.059,3565.0,000725
76,2007-06-05,5.756,5.756,5.756,5.756,4194.0,000725
77,2007-06-06,5.469,5.469,5.928,5.469,437981.95,000725
78,2007-06-07,5.231,5.338,5.469,5.198,400697.22,000725
79,2007-06-08,5.436,5.608,5.608,5.362,321291.23,000725
80,2007-06-11,5.879,5.502,5.879,5.436,339952.98,000725
81,2007-06-12,5.502,5.264,5.6,5.223,297300.29,000725
82,2007-06-13,5.272,5.526,5.526,5.166,254623.13,000725
83,2007-06-14,5.617,5.412,5.707,5.403,240519.51,000725
84,2007-06-15,5.28,5.149,5.395,5.141,244682.48,000725
85,2007-06-18,5.182,5.33,5.403,5.125,203335.48,000725
86,2007-06-19,5.371,5.6,5.6,5.248,220155.22,000725
87,2007-06-20,5.707,5.321,5.707,5.321,199319.03,000725
88,2007-06-21,5.166,5.166,5.33,5.059,171004.93,000725
89,2007-06-22,5.157,4.911,5.166,4.911,130818.37,000725
90,2007-06-25,4.665,4.665,4.862,4.665,107704.52,000725
91,2007-06-26,4.436,4.436,4.436,4.436,19003.0,000725
92,2007-06-27,4.223,4.518,4.657,4.215,224827.0,000725
93,2007-06-28,4.428,4.288,4.534,4.288,147653.73,000725
94,2007-06-29,4.075,4.075,4.165,4.075,146613.85,000725
95,2007-07-02,3.919,3.87,4.01,3.87,99233.34,000725
96,2007-07-03,3.87,4.067,4.067,3.813,179430.14,000725
97,2007-07-04,4.018,4.059,4.174,3.985,130727.1,000725
98,2007-07-05,4.256,4.264,4.264,4.149,153414.45,000725
99,2007-07-06,4.223,4.329,4.42,4.108,203310.79,000725
100,2007-07-09,4.354,4.452,4.543,4.231,174830.7,000725
101,2007-07-10,4.411,4.231,4.452,4.231,116744.9,000725
102,2007-07-11,4.108,4.198,4.264,4.1,56802.16,000725
