,date,open,close,high,low,volume,code
78,2007-05-08,11100.6,11401.1,11405.0,11025.1,138368000.0,sz
79,2007-05-09,11501.0,11517.8,11561.4,11026.1,164384000.0,sz
80,2007-05-10,11527.9,11574.2,11645.2,11407.9,146924000.0,sz
81,2007-05-11,11436.4,11489.9,11522.8,11237.2,107815000.0,sz
82,2007-05-14,11357.0,11732.1,11814.6,11244.2,115381000.0,sz
83,2007-05-15,11754.7,11414.5,11828.9,11397.6,110155000.0,sz
84,2007-05-16,11388.5,11682.3,11687.8,11266.3,105787000.0,sz
85,2007-05-17,11776.8,12011.1,12041.6,11736.9,124694000.0,sz
86,2007-05-18,12016.8,12100.1,12210.2,11919.2,114368000.0,sz
87,2007-05-21,11693.8,12269.2,12356.8,11663.5,121929000.0,sz
88,2007-05-22,12301.3,12407.8,12499.9,12301.3,155155000.0,sz
89,2007-05-23,12430.7,12624.1,12649.1,12335.5,122444000.0,sz
90,2007-05-24,12673.5,12515.2,12770.9,12316.9,126429000.0,sz
91,2007-05-25,12493.9,12681.5,12704.5,12430.1,120786000.0,sz
92,2007-05-28,12830.0,13026.7,13125.3,12830.0,151380000.0,sz
93,2007-05-29,13097.8,13456.6,13458.3,13097.8,135317000.0,sz
94,2007-05-30,12651.2,12627.2,13333.9,12425.5,170342000.0,sz
95,2007-05-31,12502.1,12944.2,13110.3,12021.0,172889000.0,sz
96,2007-06-01,12954.8,12432.7,13185.6,12325.2,163885000.0,sz
97,2007-06-04,12393.2,11468.5,12468.6,11464.2,122139000.0,sz
98,2007-06-05,11171.8,12017.7,12017.7,10652.2,158249000.0,sz
99,2007-06-06,12114.2,12338.2,12381.3,11777.6,131902000.0,sz
100,2007-06-07,12384.0,12696.0,12696.0,12357.6,115655000.0,sz
101,2007-06-08,12733.3,12850.7,12930.2,12580.4,116220000.0,sz
102,2007-06-11,12941.1,13187.7,13209.0,12938.3,121029000.0,sz
103,2007-06-12,13253.0,13579.7,13579.7,12866.0,145119000.0,sz
104,2007-06-13,13683.7,13811.5,13984.6,13671.1,139181000.0,sz
105,2007-06-14,13750.6,13666.3,13874.5,13464.5,99242600.0,sz
106,2007-06-15,13596.6,13697.2,13778.1,13525.2,76792290.0,sz
107,2007-06-18,14003.0,14194.5,14200.5,14003.0,104831000.0,sz
108,2007-06-19,14189.8,14336.4,14342.9,14057.6,91158500.0,sz
109,2007-06-20,14499.5,14107.2,14576.0,14005.3,123292000.0,sz
110,2007-06-21,14044.5,14255.6,14276.5,13928.1,95096200.0,sz
111,2007-06-22,14227.9,13725.7,14238.1,13423.2,105944000.0,sz
112,2007-06-25,13678.5,13109.3,13817.2,13003.8,96635790.0,sz
113,2007-06-26,12877.3,13219.4,13219.4,12655.2,71794290.0,sz
114,2007-06-27,13309.3,13583.7,13642.0,13154.5,88292100.0,sz
115,2007-06-28,13544.0,12882.2,13629.5,12856.3,75722700.0,sz
116,2007-06-29,12555.5,12546.5,12862.3,12341.6,72229100.0,sz
117,2007-07-02,12492.7,12475.2,12675.6,12145.0,54575190.0,sz
118,2007-07-03,12575.0,12761.1,12794.2,12461.5,56750500.0,sz
119,2007-07-04,12798.4,12509.1,12860.6,12461.8,51361600.0,sz
120,2007-07-05,12306.2,11783.6,12392.8,11782.2,55771100.0,sz
121,2007-07-06,11729.8,12395.3,12409.7,11654.5,62821890.0,sz
122,2007-07-09,12519.6,12846.4,12938.7,12516.5,75094000.0,sz
123,2007-07-10,12876.8,12682.0,12956.7,12667.3,71951290.0,sz
124,2007-07-11,12634.3,12785.7,12836.5,12592.2,50713390.0,sz
125,2007-07-12,12811.2,12850.7,12951.7,12729.0,41308190.0,sz
126,2007-07-13,12865.8,12816.4,12885.9,12702.6,26664000.0,sz
127,2007-07-16,12820.6,12331.2,12827.3,12329.6,39364190.0,sz
128,2007-07-17,12268.0,12760.0,12824.7,12153.8,47826190.0,sz
129,2007-07-18,12750.1,12841.5,13105.6,12642.0,61316890.0,sz
130,2007-07-19,12770.2,12790.9,12925.0,12711.3,38258190.0,sz
131,2007-07-20,12786.6,13418.0,13420.0,12775.2,66274200.0,sz
132,2007-07-23,13615.3,14139.3,14159.7,13615.3,109346000.0,sz
133,2007-07-24,14260.1,14191.0,14484.0,14087.6,108369000.0,sz
134,2007-07-25,14202.4,14403.1,14404.1,14127.7,85287700.0,sz
135,2007-07-26,14477.5,14619.7,14703.2,14350.8,84504600.0,sz
136,2007-07-27,14518.8,14614.1,14676.4,14337.5,83671600.0,sz
137,2007-07-30,14568.0,15060.9,15167.2,14568.0,99440890.0,sz
138,2007-07-31,15051.5,15199.6,15257.5,14917.2,86255700.0,sz
139,2007-08-01,15259.3,14795.2,15420.1,14603.6,101584000.0,sz
140,2007-08-02,14901.8,15562.1,15562.1,14901.8,86331890.0,sz
141,2007-08-03,15699.7,16179.6,16194.0,15699.7,98613500.0,sz
142,2007-08-06,16297.0,16542.8,16542.8,16190.0,98921890.0,sz
143,2007-08-07,16551.7,16523.3,16735.6,16159.0,105884000.0,sz
144,2007-08-08,16346.5,16193.7,16532.8,15864.6,94099290.0,sz
145,2007-08-09,16194.0,16680.4,16691.9,16194.0,87623700.0,sz
146,2007-08-10,16606.8,16323.4,16606.8,16034.2,105197000.0,sz
147,2007-08-13,16215.6,16116.1,16281.3,15913.6,75886390.0,sz
148,2007-08-14,16092.5,16351.9,16395.5,16010.2,70425500.0,sz
149,2007-08-15,16438.7,16322.5,16551.8,16040.9,73585600.0,sz
150,2007-08-16,16202.8,16053.2,16219.3,15877.9,76002600.0,sz
